id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
263399,Cosy 3 Bedrooms Apartment @ Campolide,405842,Agylp Lda,Lisboa,Campolide,38.72729,-9.16317,Entire home/apt,70,28,24,2021-07-30,0.21,6,131,3,30904/AL
266659,A private room in a charming place,1398359,Rodrigo,Lisboa,Misericrdia,38.71257,-9.1521,Private room,103,2,6,2017-09-20,0.09,1,364,0,
267235,Apartment with garden in Lisbon,1039097,Diogo,Lisboa,Santo Antnio,38.7225,-9.15488,Entire home/apt,72,3,83,2021-10-10,0.72,11,129,6,44083-AL
270591,Spacious and family friendly villa at Lisbon coast,1416570,Iveta,Torres Vedras,"S.Pedro e Santiago, S.Maria e S.Miguel, e Mataces",39.10812,-9.23511,Entire home/apt,217,3,24,2021-08-14,0.31,1,191,3,
271430,"Luxury, best quarter free parking no cleaning fees",1416183,Fadoflats,Lisboa,Santa Maria Maior,38.71291,-9.14234,Entire home/apt,119,2,105,2021-11-22,0.94,13,312,16,24027/AL
272438,Modern decor in best neighbourhood,1416183,Fadoflats,Lisboa,Santa Maria Maior,38.71291,-9.14234,Entire home/apt,88,3,75,2021-11-21,0.66,13,314,5,3019/AL
273835,Challet Joset I Old Fashioned House,1432350,Samantha,Cascais,Carcavelos e Parede,38.69219,-9.35887,Entire home/apt,85,3,21,2019-08-13,0.21,3,343,0,
276795,superb duplex with amazing terrace,1445970,Laurent,Lisboa,Misericrdia,38.71061,-9.14327,Entire home/apt,160,3,110,2021-10-02,0.93,1,154,7,34222/AL
279549,"3 Bedrooms, 3 bathrooms and terrace - Chiado",1457564,Ines,Lisboa,Misericrdia,38.71001,-9.14374,Entire home/apt,155,3,231,2021-11-21,1.99,2,327,17,35949/AL
281407,BERNARDIM BROWN IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72621,-9.14318,Entire home/apt,150,3,3,2021-11-15,0.05,7,359,1,15252/AL
286153,Shared appartment - double room2,1489229,João,Lisboa,Campolide,38.72851,-9.16644,Shared room,20,2,49,2020-09-24,0.41,2,310,0,Registo como alojamento local no turismo de Portugal 5955/AL
286706,BERNARDIM GREY IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72486,-9.14329,Entire home/apt,120,3,9,2019-11-02,0.10,7,365,0,AL15255
290898,private room in shared apartament,1489229,João,Lisboa,Campolide,38.72932,-9.16566,Private room,15,1,3,2020-10-21,0.08,2,356,0,Registo como alojamento local no turismo de Portugal 9109/AL
291676,BAIRRO ALTO APARTMENT in Lisbon 3º,682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,110,2,8,2019-11-03,0.07,8,311,0,2696/AL
297131,Lovely Apartment close to the sea,1532497,Maria,Cascais,Cascais e Estoril,38.69901,-9.4398,Entire home/apt,82,3,35,2019-08-25,0.31,1,343,0,35001/AL
299321,Central Apartment & 360º Terrace,9416641,Sandra & Sofia,Lisboa,Santo Antnio,38.7213,-9.14437,Entire home/apt,63,3,563,2021-12-01,4.71,3,220,19,2156/AL
301264,200yrs apart. - Balcony and WIFI! 2,1552056,Maria Simone,Lisboa,Arroios,38.72199,-9.14002,Entire home/apt,74,2,76,2021-11-07,0.68,7,343,1,36052/AL
